id,status,sector,sector_merged,sector_grouped,activity,loan_amount,funded_amount,lender_count,borrower_count,use,description_length
3226044,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,75,2,1,to buy fertilizers to improve soils for healthy crop growing.,10
3226054,fundraising,Agriculture,Agriculture,Agriculture,Farming,425,100,4,1,to buy manure to improve soils to grow healthy coffee for sale.,12
3227446,fundraising,Retail,Retail,Business,General Store,1100,25,1,1,to add stock to the business.,6
3227039,fundraising,Agriculture,Agriculture,Agriculture,Farming,1900,25,1,1,to buy seedlings to diversify her crops and increase sales.,10
3227511,fundraising,Agriculture,Agriculture,Agriculture,Farming,1100,100,4,1,to buy seedlings to diversify his crops and increase sales.,10
3227654,fundraising,Manufacturing,Other,Personal,Manufacturing,1100,450,15,1,to add capital to her pot making business.,8
3227021,fundraising,Clothing,Clothing,Personal,Clothing Sales,425,50,1,1,to buy more bales of clothes to sell to generate revenue.,11
3210940,fundraising,Food,Food,Personal,Grocery Store,425,25,1,1,"to purchase more bananas and matooke, commonly known as plantain, a staple.",12
3210299,fundraising,Agriculture,Agriculture,Agriculture,Livestock,700,175,7,1,"buy more cows, and goats for rearing.",7
3210939,fundraising,Agriculture,Agriculture,Agriculture,Poultry,550,0,0,1,"to purchase chicks, feed, housing, feeders, and waterers for her poultry farm.",12
3210296,fundraising,Food,Food,Personal,Fish Selling,325,25,1,1,buy fish for selling.,4
3226021,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,75,2,1,"to buy fertilizer and mulch to amend his soil, boost his yield, and increase his income.",16
3226018,fundraising,Clothing,Clothing,Personal,Clothing Sales,1350,0,0,1,to purchase additional stock and expand her business.,8
3226016,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,2175,0,0,1,to buy more cows for fattening and sale to generate revenue.,11
3226008,fundraising,Agriculture,Agriculture,Agriculture,Farming,950,0,0,1,to purchase manure and mulches for his farm.,8
3226000,fundraising,Agriculture,Agriculture,Agriculture,Farming,825,25,1,1,to purchase manure and mulches for his coffee garden.,9
3226003,fundraising,Agriculture,Agriculture,Agriculture,Farming,1900,25,1,1,"to buy fertilizers, seedlings to grow healthy coffee to sell to generate revenue.",13
3225993,fundraising,Retail,Retail,Business,Hardware,4050,0,0,1,"to purchase essential stock, including cement, iron sheets, paints, brushes, and nails.",12
3225265,fundraising,Agriculture,Agriculture,Agriculture,Farming,1350,0,0,1,to buy a coffee milling machine to process coffee and sell to generate revenue.,14
3225962,fundraising,Retail,Retail,Business,General Store,1350,0,0,1,to buy assorted mercandise to restock her retail shop.,9
3225284,fundraising,Housing,Housing,Personal,Property,1075,0,0,1,to renovate rentals to earn better incomes from them.,9
3225225,fundraising,Construction,Construction,Personal,Timber Sales,950,0,0,1,to buy more timber to sell and generate revenue.,9
3225261,fundraising,Housing,Housing,Personal,Property,2025,0,0,1,to meet rental renovation expenses to earn better from his business.,11
3225140,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,1075,0,0,1,"to buy manure, fertilizers, vaccines, pesticides, and herbicides to sell.",10
3225108,fundraising,Food,Food,Personal,Grocery Store,825,0,0,1,to buy more groceries to sell.,6
3225047,fundraising,Retail,Retail,Business,Electronics Sales,950,0,0,1,to buy more electronics to sell.,6
3224348,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,0,0,1,to buy mulches and manure to improve soils for healthy crop-growing.,11
3224410,fundraising,Food,Food,Personal,Restaurant,1350,0,0,1,"to buy serving trays, plates, cutlery, chairs, and tables so that he can accommodate more customers at his restaurant.",19
3224351,fundraising,Agriculture,Agriculture,Agriculture,Farm Supplies,2700,0,0,1,"to buy more land, banana suckers, and manure to plant more bananas for sell.",14
3224359,fundraising,Agriculture,Agriculture,Agriculture,Animal Sales,4025,0,0,1,to buy more cows to fatten and sell to generate revenue.,11
3224334,fundraising,Agriculture,Agriculture,Agriculture,Farming,1900,25,1,1,to buy mulches and manure to improve the soil to grow healthy coffee to sell and generate revenue.,18
3224303,fundraising,Agriculture,Agriculture,Agriculture,Farming,2700,0,0,1,to buy mulches and manure to improve soil fertility for healthy coffee growing.,13
